month,gid,gcode,game_date_local,tip_local_time,tip_away_local_time,tip_et_time,arena,city,state,status_code,status_text,visitor_abbr,visitor_team,visitor_city,home_abbr,home_team,home_city,utc_date,utc_time,seq,broadcasters_tv,broadcasters_radio,broadcasters_ott,broadcasters_natltv
January,0022500471,20260101/HOUBKN,2026-01-01,2026-01-01T18:00:00,2026-01-01T17:00:00,2026-01-01T18:00:00,Barclays Center,Brooklyn,NY,1,6:00 pm ET,HOU,Rockets,Houston,BKN,Nets,Brooklyn,2026-01-01,23:00,1,"NBA TV, Space City Home Network, YES",790 AM / S: KLTN TUDN,,NBA TV
January,0022500472,20260101/MIADET,2026-01-01,2026-01-01T19:00:00,2026-01-01T19:00:00,2026-01-01T19:00:00,Little Caesars Arena,Detroit,MI,1,7:00 pm ET,MIA,Heat,Miami,DET,Pistons,Detroit,2026-01-02,00:00,2,"FanDuel Sports Network - Sun, FDSNDTX","950 AM, FM 104.3 WQAM, 560 AM   / S: WAQI 710",,
January,0022500473,20260101/PHIDAL,2026-01-01,2026-01-01T19:30:00,2026-01-01T20:30:00,2026-01-01T20:30:00,American Airlines Center,Dallas,TX,1,8:30 pm ET,PHI,76ers,Philadelphia,DAL,Mavericks,Dallas,2026-01-02,01:30,3,"KFAA, NBC Sports Philadelphia","97.1 FM / S: 99.1 FM, 97.5 The Fanatic",MavsTV,
January,0022500474,20260101/BOSSAC,2026-01-01,2026-01-01T19:00:00,2026-01-01T22:00:00,2026-01-01T22:00:00,Golden 1 Center,Sacramento,CA,1,10:00 pm ET,BOS,Celtics,Boston,SAC,Kings,Sacramento,2026-01-02,03:00,4,"NBA TV, NBC SPORTS BOSTON, NBCSCA","98.5 The Sports Hub, Sactown Sports 1140 AM",,NBA TV
January,0022500475,20260101/UTALAC,2026-01-01,2026-01-01T19:30:00,2026-01-01T20:30:00,2026-01-01T22:30:00,Intuit Dome,Inglewood,CA,1,10:30 pm ET,UTA,Jazz,Utah,LAC,Clippers,LA,2026-01-02,03:30,5,"FanDuel Sports Network - SoCal, KJZZ",KZNS / KSL / S: KTUB,Jazz+,
January,0022500476,20260102/SASIND,2026-01-02,2026-01-02T19:00:00,2026-01-02T18:00:00,2026-01-02T19:00:00,Gainbridge Fieldhouse,Indianapolis,IN,1,7:00 pm ET,SAS,Spurs,San Antonio,IND,Pacers,Indiana,2026-01-03,00:00,1,FanDuel Sports Network - Indiana,"93.5/107.5 The Fan, WOAI/KXTN",,
January,0022500477,20260102/BKNWAS,2026-01-02,2026-01-02T19:00:00,2026-01-02T19:00:00,2026-01-02T19:00:00,Capital One Arena,Washington,DC,1,7:00 pm ET,BKN,Nets,Brooklyn,WAS,Wizards,Washington,2026-01-03,00:00,2,"Monumental Sports Network, YES",,,
January,0022500478,20260102/DENCLE,2026-01-02,2026-01-02T19:30:00,2026-01-02T17:30:00,2026-01-02T19:30:00,Rocket Arena,Cleveland,OH,1,7:30 pm ET,DEN,Nuggets,Denver,CLE,Cavaliers,Cleveland,2026-01-03,00:30,3,"Altitude, FanDuel Sports Network - Ohio",Altitude Sports Radio 92.5 FM,,
January,0022500479,20260102/ATLNYK,2026-01-02,2026-01-02T19:30:00,2026-01-02T19:30:00,2026-01-02T19:30:00,Madison Square Garden,New York,NY,1,7:30 pm ET,ATL,Hawks,Atlanta,NYK,Knicks,New York,2026-01-03,00:30,4,"MSG, Prime Video","880 ESPN New York, WZGC",,Prime Video
January,0022500480,20260102/ORLCHI,2026-01-02,2026-01-02T19:00:00,2026-01-02T20:00:00,2026-01-02T20:00:00,United Center,Chicago,IL,1,8:00 pm ET,ORL,Magic,Orlando,CHI,Bulls,Chicago,2026-01-03,01:00,5,"Chicago Sports Network, FanDuel Sports Network - Florida",,,
January,0022500481,20260102/CHAMIL,2026-01-02,2026-01-02T19:00:00,2026-01-02T20:00:00,2026-01-02T20:00:00,Fiserv Forum,Milwaukee,WI,1,8:00 pm ET,CHA,Hornets,Charlotte,MIL,Bucks,Milwaukee,2026-01-03,01:00,6,"FanDuel Sports Network - Southeast - Charlotte, FanDuel Sports Network - Wisconsin",WFNZ 610 AM/102.5 FM,,
January,0022500482,20260102/PORNOP,2026-01-02,2026-01-02T19:00:00,2026-01-02T17:00:00,2026-01-02T20:00:00,Smoothie King Center,New Orleans,LA,1,8:00 pm ET,POR,Trail Blazers,Portland,NOP,Pelicans,New Orleans,2026-01-03,01:00,7,"GCSEN, KUNP",Rip City Radio 620,"BlazerVision, Pelicans+",
January,0022500483,20260102/SACPHX,2026-01-02,2026-01-02T19:00:00,2026-01-02T18:00:00,2026-01-02T21:00:00,Mortgage Matchup Center,Phoenix,AZ,1,9:00 pm ET,SAC,Kings,Sacramento,PHX,Suns,Phoenix,2026-01-03,02:00,8,"Arizona's Family 3TV / Arizona's Family Sports, NBCSCA","KMVP 98.7 / S: KSUN, Sactown Sports 1140 AM",Suns+,
January,0022500484,20260102/OKCGSW,2026-01-02,2026-01-02T19:00:00,2026-01-02T21:00:00,2026-01-02T22:00:00,Chase Center,San Francisco,CA,1,10:00 pm ET,OKC,Thunder,Oklahoma City,GSW,Warriors,Golden State,2026-01-03,03:00,9,"FanDuel Sports Network - Oklahoma, NBCSBA, Prime Video","95.7 The Game, WWLS 98.1FM OKC",,Prime Video
January,0022500485,20260102/MEMLAL,2026-01-02,2026-01-02T19:30:00,2026-01-02T21:30:00,2026-01-02T22:30:00,Crypto.com Arena,Los Angeles,CA,1,10:30 pm ET,MEM,Grizzlies,Memphis,LAL,Lakers,Los Angeles,2026-01-03,03:30,10,"FanDuel Sports Network - Southeast - Memphis, Spectrum SportsNet",ESPN LA 710/1330 KWKW,Spectrum SportsNet+,
January,0022500486,20260103/MINMIA,2026-01-03,2026-01-03T17:00:00,2026-01-03T16:00:00,2026-01-03T17:00:00,Kaseya Center,Miami,FL,1,5:00 pm ET,MIN,Timberwolves,Minnesota,MIA,Heat,Miami,2026-01-03,22:00,1,"FanDuel Sports Network - North, FanDuel Sports Network - Sun, NBA TV","FM 104.3 WQAM, 560 AM   / S: WAQI 710",,NBA TV
January,0022500487,20260103/PHINYK,2026-01-03,2026-01-03T19:30:00,2026-01-03T19:30:00,2026-01-03T19:30:00,Madison Square Garden,New York,NY,1,7:30 pm ET,PHI,76ers,Philadelphia,NYK,Knicks,New York,2026-01-04,00:30,2,"MSG, NBA TV, NBC Sports Philadelphia","880 ESPN New York, 97.5 The Fanatic",,NBA TV
January,0022500488,20260103/ATLTOR,2026-01-03,2026-01-03T19:30:00,2026-01-03T19:30:00,2026-01-03T19:30:00,Scotiabank Arena,Toronto,ON,1,7:30 pm ET,ATL,Hawks,Atlanta,TOR,Raptors,Toronto,2026-01-04,00:30,3,"FanDuel Sports Network - Southeast - Atlanta, TSN, TSN","TSN Radio 1050, WZGC",,
January,0022500489,20260103/CHACHI,2026-01-03,2026-01-03T19:00:00,2026-01-03T20:00:00,2026-01-03T20:00:00,United Center,Chicago,IL,1,8:00 pm ET,CHA,Hornets,Charlotte,CHI,Bulls,Chicago,2026-01-04,01:00,4,"Chicago Sports Network Plus, FanDuel Sports Network - Southeast - Charlotte",WFNZ 610 AM/102.5 FM,,
January,0022500490,20260103/PORSAS,2026-01-03,2026-01-03T19:00:00,2026-01-03T17:00:00,2026-01-03T20:00:00,Frost Bank Center,San Antonio,TX,1,8:00 pm ET,POR,Trail Blazers,Portland,SAS,Spurs,San Antonio,2026-01-04,01:00,5,KUNP,"Rip City Radio 620, WOAI/KXTN",BlazerVision,
January,0022500491,20260103/HOUDAL,2026-01-03,2026-01-03T19:30:00,2026-01-03T19:30:00,2026-01-03T20:30:00,American Airlines Center,Dallas,TX,1,8:30 pm ET,HOU,Rockets,Houston,DAL,Mavericks,Dallas,2026-01-04,01:30,6,"KFAA, Space City Home Network","790 AM / S: KLTN TUDN, 97.1 FM / S: 99.1 FM",MavsTV,
January,0022500492,20260103/UTAGSW,2026-01-03,2026-01-03T19:00:00,2026-01-03T20:00:00,2026-01-03T22:00:00,Chase Center,San Francisco,CA,1,10:00 pm ET,UTA,Jazz,Utah,GSW,Warriors,Golden State,2026-01-04,03:00,7,"KJZZ, NBA TV, NBCSBA","95.7 The Game, KZNS / KSL / S: KTUB",Jazz+,NBA TV
January,0022500493,20260103/BOSLAC,2026-01-03,2026-01-03T19:30:00,2026-01-03T22:30:00,2026-01-03T22:30:00,Intuit Dome,Inglewood,CA,1,10:30 pm ET,BOS,Celtics,Boston,LAC,Clippers,LA,2026-01-04,03:30,8,"FanDuel Sports Network - SoCal, NBC SPORTS BOSTON",WROR (105.7 FM),,
January,0022500494,20260104/DETCLE,2026-01-04,2026-01-04T14:00:00,2026-01-04T14:00:00,2026-01-04T14:00:00,Rocket Arena,Cleveland,OH,1,2:00 pm ET,DET,Pistons,Detroit,CLE,Cavaliers,Cleveland,2026-01-04,19:00,1,"FanDuel Sports Network - Detroit, FanDuel Sports Network - Ohio",950 AM,,
January,0022500495,20260104/INDORL,2026-01-04,2026-01-04T15:00:00,2026-01-04T15:00:00,2026-01-04T15:00:00,Kia Center,Orlando,FL,1,3:00 pm ET,IND,Pacers,Indiana,ORL,Magic,Orlando,2026-01-04,20:00,2,"FanDuel Sports Network - Florida, FanDuel Sports Network - Indiana",93.5/107.5 The Fan,,
January,0022500496,20260104/DENBKN,2026-01-04,2026-01-04T15:30:00,2026-01-04T13:30:00,2026-01-04T15:30:00,Barclays Center,Brooklyn,NY,1,3:30 pm ET,DEN,Nuggets,Denver,BKN,Nets,Brooklyn,2026-01-04,20:30,3,"Altitude 2, YES",Altitude Sports Radio 950 AM,,
January,0022500497,20260104/NOPMIA,2026-01-04,2026-01-04T18:00:00,2026-01-04T17:00:00,2026-01-04T18:00:00,Kaseya Center,Miami,FL,1,6:00 pm ET,NOP,Pelicans,New Orleans,MIA,Heat,Miami,2026-01-04,23:00,4,"FanDuel Sports Network - Sun, GCSEN","FM 104.3 WQAM, 560 AM   / S: WAQI 710",Pelicans+,
January,0022500498,20260104/MINWAS,2026-01-04,2026-01-04T18:00:00,2026-01-04T17:00:00,2026-01-04T18:00:00,Capital One Arena,Washington,DC,1,6:00 pm ET,MIN,Timberwolves,Minnesota,WAS,Wizards,Washington,2026-01-04,23:00,5,"FanDuel Sports Network - North, Monumental Sports Network",,,
